Time,Value
23:05:33.661.934,31
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,95
23:05:33.661.934,142
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,212
23:05:33.661.934,56
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,62
23:05:33.661.934,40
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,75
23:05:33.661.934,139
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,104
23:05:33.661.934,58
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,227
23:05:33.661.934,40
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,16
23:05:33.661.934,139
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,114
23:05:33.661.934,58
23:05:33.661.934,43
23:05:33.661.934,198
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,127
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,0
23:05:33.661.934,128
23:05:33.661.934,157
23:05:33.661.934,195
23:05:33.661.934,78
23:05:33.661.934,49
23:05:33.661.934,243
23:05:33.661.934,194
23:05:33.661.934,18
23:05:33.661.934,136
23:05:33.661.934,169
23:05:33.661.934,69
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,0
23:05:33.661.934,192
23:05:33.661.934,246
23:05:33.661.934,59
23:05:33.661.934,43
23:05:33.661.934,198
